starId,movieId
s000007173,AgH5
s000006859,AgH5
s000007174,AgH10
s000007175,AgH10
s000001541,AgH10
s000007176,AgH10
s000007177,AgH10
s000007178,AgH10
s000006859,AgH10
s000006859,AgH10
s000006859,AgH10
s000007179,AgH13
s000007180,AgH13
s000007181,AgH13
s000007182,AgH13
s000007183,AgH15
s000007184,AgH15
s000007185,AgH15
s000007186,AgH15
s000005819,AgH15
s000003601,AgH19
s000007187,AgH19
s000002001,AgH19
s000007188,AMt10
s000007189,AMt10
s000007190,AMt10
s000007191,AMt15
s000007192,AMt15
s000000227,AGl10
s000000323,AGl10
s000007193,AGl10
s000005853,AGl10
s000000201,AGl10
s000001587,AGl10
s000001221,AGl12
s000000920,AGl12
s000007194,AGl12
s000007195,AGl12
s000001519,AGl12
s000002617,AGl12
s000007196,AGm10
s000007197,AGm10
s000007198,AGm10
s000007199,AGm10
s000007200,AGm10
s000007201,AGm10
s000000636,AGr10
s000007202,AGr10
s000007203,AGs10
s000007204,AGs10
s000007205,AGs10
s000007206,AGs10
s000007207,AGs10
s000007208,AGs10
s000007209,AGs10
s000007207,AGs10
s000007210,AGs10
s000007211,AGs10
s000005879,AHb20
s000001551,AHb20
s000007212,AHu1
s000007213,AHu1
s000007214,AiE10
s000007215,AiE10
s000007216,AiE10
s000007217,AiE10
s000007218,AiE10
s000007219,AiE10
s000003409,AiE10
s000007220,AiE10
s000007221,AiE10
s000007222,AII1
s000007223,AII1
s000000907,AII1
s000003703,AII3
s000005842,AII3
s000007224,AiN10
s000005524,AJa1
s000005253,AJa1
s000004681,AJa1
s000007225,AJa1
s000007226,AJa1
s000006859,AJa1
s000003912,AJd10
s000003534,AJG50
s000002596,AJG50
s000001998,AJG50
s000002655,AJG50
s000007227,AJG50
s000001391,AJG50
s000007228,AJG50
s000001385,AJo10
s000003218,AJo10
s000007229,AJo10
s000007230,AJo10
s000003862,AJo10
s000002038,AJP1
s000006049,AJP1
s000005557,AJP1
s000007231,AJP1
s000002180,AJP1
s000006275,AJP1
s000007232,AJP1
s000002843,AJP1
s000007233,AJP1
s000000422,AJP2
s000005034,AJP2
s000001343,AJP2
s000001433,AJP2
s000007234,AJP2
s000005173,AJP3
s000002827,AJP3
s000007235,AJP3
s000007236,AJP3
s000006501,AJP3
s000000320,AJP3
s000002833,AJP3
s000007237,AJP3
s000000076,AJP3
s000007238,AJP3
s000007239,AJP3
s000005240,AJP5
s000001129,AJP5
s000000500,AJP5
s000000285,AJP5
s000007240,AJP5
s000002038,AJP6
s000003409,AJP6
s000001343,AJP6
s000006020,AJP7
s000003364,AJP7
