id,name,birthYear
s000000789,Kathy Browne,
s000000790,Roscoe Lee Browne,1925
s000000791,David Bruce,1914
s000000792,Lenny Bruce,
s000000793,Nigel Bruce,1895
s000000794,Virginia Bruce,1910
s000000795,Nadja Brunkhorst,
s000000796,Phil Bruns,
s000000797,Dora Bryan,1923
s000000798,Jane Bryan,1918
s000000799,Michael Bryant,1928
s000000800,Nana Bryant,1888
s000000801,Pamela Bryant,
s000000802,Yul Brynner,1915
s000000803,John Buchan,
s000000804,Jack Buchanan,1891
s000000805,Horst Buchholz,1933
s000000806,Betty Buckley,
s000000807,John Buckwalter,
s000000808,Genevieve Bujold,1942
s000000809,Raymond Buktencia,
s000000810,Peter Bull,1912
s000000811,Jeremy Bulloch,
s000000812,Sandra Bullock,1967
s000000813,Avis Bunnage,
s000000814,Victor Buono,1938
s000000815,Robert Bur,
s000000816,Valerie Burdinelli,1960
s000000817,Eric Burdon,
s000000818,Scott Burgess,
s000000819,Gary Burghoff,
s000000820,Billie Burke,1885
s000000821,James Burke,1886
s000000822,Paul Burke,1926
s000000823,Dennis Burkley,
s000000824,Tom Burlinson,
s000000825,Carol Burnett,1933
s000000826,Smiley Burnette,
s000000827,Bob Burns,1893
s000000828,Catherine Burns,1945
s000000829,George Burns,1896
s000000830,Marilyn Burns,
s000000831,Mark Burns,1936
s000000832,Stephan W. Burns,
s000000833,Tim Burns,
s000000834,Raymond Burr,1917
s000000835,Terri Burrell,
s000000836,Jackie Burroughs,
s000000837,Bill Burrows,
s000000838,Ellen Burstyn,1932
s000000839,Jeff Burton,
s000000840,Kate Burton,1958
s000000841,LeVar Burton,
s000000842,Richard Burton,1925
s000000843,Robert Burton,1894
s000000844,Steve Buscemi,1958
s000000845,Mae Busch,1879
s000000846,Gary Busey,1944
s000000847,"Billy ""Green"" Bush",
s000000848,Anthony Bushell,1904
s000000849,Francis X. Bushman,1883
s000000850,Robert Butler,
s000000851,William Butler,
s000000852,Yancy Butler,
s000000853,Charles Butterworth,1896
s000000854,Red Buttons,1918
s000000855,Pat Buttram,
s000000856,Ruth Buzzi,
s000000857,Spring Byington,1893
s000000858,John Byner,
s000000859,Ralph Byrd,1909
s000000860,Tom Byrd,
s000000861,Anne Byrne,
s000000862,Eddie Byrne,1911
s000000863,Martha Byrne,
s000000864,Kathleen Byron,
s000000865,Walter Byron,1899
s000000866,James Caan,1938
s000000867,Bruce Cabot,1904
s000000868,Sebastian Cabot,1918
s000000869,Jean Cadell,1884
s000000870,Sid Caesar,1922
s000000871,Cheri Caffaro,
s000000872,Nicolas Cage,1964
s000000873,Jeanne Cagney,1919
s000000874,Jimmy Cagney,1899
s000000875,William Cagney,
s000000876,Howard Caine,1926
s000000877,Michael Caine,1933
s000000878,Anna Calder-Marshall,1949
s000000879,Louis Calhern,1895
s000000880,Rory Calhoun,1922
s000000881,Joseph Cali,
s000000882,Michael Callan,1935
s000000883,Maria Callas,1923
s000000884,Joseph Calleia,1897
s000000885,Simon Callow,
s000000886,Cab Calloway,1907
s000000887,Donald Calthrop,1888
s000000888,Phyllis Calvert,1915
s000000889,Corinne Calvet,1925
s000000890,Henry Calvin,1918
s000000891,Godfrey Cambridge,1929
s000000892,Rod Cameron,1910
